analysis	replicate	n_genomes	sat_t0	sat_ci_lo	sat_ci_hi	unc_t0	delta_days	h2_supported
subsample_50	subsample_50pct_rep1	99	2023-07-14	2006-08-09	2023-08-23	2023-05-20	55.08260787650943	False
subsample_50	subsample_50pct_rep2	99	2023-07-10	2006-05-19	2023-08-10	2023-07-09	0.8516737992176786	False
subsample_50	subsample_50pct_rep3	99	2023-06-29	2006-11-16	2023-08-24	2023-08-03	34.30457910033874	False
subsample_50	subsample_50pct_rep4	99	2019-01-01	1999-10-24	2021-03-17	2023-06-26	1637.3761399172945	True
subsample_50	subsample_50pct_rep5	99	2023-07-26	2006-08-09	2023-08-08	2023-06-30	25.315109789720736	False
subsample_75	subsample_75pct_rep1	148	2019-01-08	2001-04-05	2021-01-21	2023-10-11	1736.3589174305089	True
subsample_75	subsample_75pct_rep2	148	2019-01-08	2000-07-02	2021-06-06	2023-10-01	1727.02554855356	True
subsample_75	subsample_75pct_rep3	148	2023-02-12	2005-09-04	2023-07-22	2023-09-08	207.89405565382913	True
subsample_75	subsample_75pct_rep4	148	2019-01-09	2001-03-08	2021-04-21	2020-05-29	505.60538934811484	True
subsample_75	subsample_75pct_rep5	148	2023-10-01	2005-06-25	2023-08-28	2019-07-14	1539.302311807638	True
temporal_holdout	temporal_holdout_25pct	148	2019-01-02	1993-02-26	2021-10-31	2019-07-31	210.14076475787442	True
